Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771599211288,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,61.31660079956055,58.24742126464844,66.1593017578125,63.831581115722656,63.89685821533203,62.444515228271484,58.06483459472656,59.43629837036133,59.955413818359375,59.85218811035156,66.66667175292969,66.66667175292969,0,0,0,0,0,0,0,0,23.039613723754883,34359738368,0,20925104128,0
100004,1771599211288,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,61.31660079956055,58.24742126464844,66.1593017578125,63.831581115722656,63.89685821533203,62.444515228271484,58.06483459472656,59.43629837036133,59.955413818359375,59.85218811035156,100,100,0,0,0,0,0,0,0,0,23.039613723754883,34359738368,0,20925333504,0
10,1771599311293,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,56.63319396972656,55.85696792602539,59.88731384277344,56.892791748046875,58.23615264892578,57.524532318115234,54.432029724121094,54.955074310302734,56.87784194946289,56.30554962158203,52.06232833862305,47.2070426940918,50.2453498840332,32.532310485839844,21.846370697021484,15.65889835357666,11.31602668762207,6.260643005371094,4.465358257293701,3.453453540802002,17.52789878845215,34359738368,0,20775387136,0
