Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772157840584,3228,3228,3228,3228,3228,3228,3228,3228,51.99603271484375,50.91736602783203,58.67693328857422,57.46648406982422,51.45463562011719,50.80772399902344,53.79740905761719,52.961517333984375,50.06998062133789,51.77680969238281,0,100,50,0,0,0,0,0,18.008838653564453,17179869184,9663676416,12658032640,7938244608
207,1772157840584,3228,3228,3228,3228,3228,3228,3228,3228,51.99603271484375,50.91736602783203,58.67693328857422,57.46648406982422,51.45463562011719,50.80772399902344,53.79740905761719,52.961517333984375,50.06998062133789,51.77680969238281,100,66.66667175292969,NaN,0,0,0,0,0,14.610658645629883,17179869184,9663676416,12661014528,7938244608
206,1772157840791,3228,3228,3228,3228,3228,3228,3228,3228,51.99603271484375,50.91736602783203,58.67693328857422,57.46648406982422,51.45463562011719,50.80772399902344,53.79740905761719,52.961517333984375,50.06998062133789,51.77680969238281,90,80,76.19047546386719,35,23.809524536132813,9.523809432983398,0,0,14.610658645629883,17179869184,9663676416,12679364608,7938244608
209,1772157840998,3228,3228,3228,3228,3228,3228,3228,3228,51.99603271484375,50.91736602783203,58.67693328857422,57.46648406982422,51.45463562011719,50.80772399902344,53.79740905761719,52.961517333984375,50.06998062133789,51.77680969238281,70,80,66.66667175292969,28.571430206298828,28.571430206298828,20,18.18181800842285,14.285715103149414,14.610658645629883,17179869184,9663676416,12705693696,7938244608
207,1772157841208,3228,3228,3228,3228,3228,3228,3228,3228,51.38822937011719,51.21445846557617,55.31456756591797,55.407039642333984,51.473602294921875,50.56751251220703,54.171913146972656,53.44414520263672,50.891571044921875,51.89789581298828,45.45454788208008,40,80,35,28.571430206298828,22.72727394104004,20,22.72727394104004,14.610658645629883,17179869184,9663676416,12699762688,7938244608
204,1772157841416,3228,3228,3228,3228,3228,3228,3228,3228,51.38822937011719,51.21445846557617,55.31456756591797,55.407039642333984,51.473602294921875,50.56751251220703,54.171913146972656,53.44414520263672,50.891571044921875,51.89789581298828,10,14.285715103149414,52.38095474243164,14.285715103149414,23.809524536132813,14.285715103149414,0,0,14.610658645629883,17179869184,9663676416,12696502272,7938244608
206,1772157841620,3228,3228,3228,3228,3228,3228,3228,3228,51.38822937011719,51.21445846557617,55.31456756591797,55.407039642333984,51.473602294921875,50.56751251220703,54.171913146972656,53.44414520263672,50.891571044921875,51.89789581298828,52.38095474243164,47.619049072265625,70,70,47.36842346191406,38.88888931274414,30.000001907348633,15.000000953674316,13.482378005981445,17179869184,9663676416,12621283328,7938244608
206,1772157841827,3228,3228,3228,3228,3228,3228,3228,3228,51.38822937011719,51.21445846557617,55.31456756591797,55.407039642333984,51.473602294921875,50.56751251220703,54.171913146972656,53.44414520263672,50.891571044921875,51.89789581298828,60.000003814697266,60.000003814697266,78.94737243652344,78.94737243652344,70,55,47.36842346191406,31.57894515991211,13.482378005981445,17179869184,9663676416,12644564992,7938244608
208,1772157842034,3228,3228,3228,3228,3228,3228,3228,3228,51.38822937011719,51.21445846557617,55.31456756591797,55.407039642333984,51.473602294921875,50.56751251220703,54.171913146972656,53.44414520263672,50.891571044921875,51.89789581298828,66.66667175292969,55,76.19047546386719,68.18181610107422,66.66667175292969,57.142860412597656,42.85714340209961,40.90909194946289,13.482378005981445,17179869184,9663676416,12656623616,7938244608
209,1772157842242,3228,3228,3228,3228,3228,3228,3228,3228,52.829925537109375,52.620704650878906,57.296958923339844,57.86388397216797,53.652122497558594,51.96848678588867,57.228179931640625,56.23228073120117,53.089073181152344,53.167205810546875,76.19047546386719,75,90.47618865966797,90,90,85,80.95238494873047,73.68421173095703,13.482378005981445,17179869184,9663676416,12741165056,7938244608
