Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772163288831,3228,3228,3228,3228,3228,3228,3228,3228,42.09257507324219,43.325225830078125,45.03875732421875,44.926605224609375,42.68134307861328,42.31663513183594,44.6190071105957,44.12392807006836,42.313873291015625,43.729248046875,50,0,66.66667175292969,0,0,0,50,33.333335876464844,10.214868545532227,17179869184,8589934592,13231144960,7210663936
203,1772163288831,3228,3228,3228,3228,3228,3228,3228,3228,42.09257507324219,43.325225830078125,45.03875732421875,44.926605224609375,42.68134307861328,42.31663513183594,44.6190071105957,44.12392807006836,42.313873291015625,43.729248046875,100,100,NaN,NaN,50,0,0,0,10.214868545532227,17179869184,8589934592,13231144960,7210663936
10,1772163289035,3228,3228,3228,3228,3228,3228,3228,3228,42.09257507324219,43.325225830078125,45.03875732421875,44.926605224609375,42.68134307861328,42.31663513183594,44.6190071105957,44.12392807006836,42.313873291015625,43.729248046875,42.105262756347656,50,42.85714340209961,28.571430206298828,20,15.000000953674316,10,10,10.214868545532227,17179869184,8589934592,13231144960,7210663936
