Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772155534357,3228,3228,3228,3228,3228,3228,3228,3228,65.28892517089844,64.71977233886719,68.99109649658203,69.50709533691406,65.3567123413086,64.00431060791016,68.07208251953125,67.85542297363281,64.7611083984375,65.0519790649414,100,50,100,100,0,50,0,0,19.853647232055664,17179869184,9663676416,13188939776,8093564928
213,1772155534357,3228,3228,3228,3228,3228,3228,3228,3228,65.28892517089844,64.71977233886719,68.99109649658203,69.50709533691406,65.3567123413086,64.00431060791016,68.07208251953125,67.85542297363281,64.7611083984375,65.0519790649414,0,NaN,100,50,0,0,NaN,NaN,19.853647232055664,17179869184,9663676416,13188513792,8093564928
204,1772155534572,3228,3228,3228,3228,3228,3228,3228,3228,65.28892517089844,64.71977233886719,68.99109649658203,69.50709533691406,65.3567123413086,64.00431060791016,68.07208251953125,67.85542297363281,64.7611083984375,65.0519790649414,80,80.95238494873047,90.47618865966797,90.47618865966797,86.36363983154297,80.95238494873047,72.7272720336914,72.7272720336914,20.165851593017578,17179869184,9663676416,13188513792,8093564928
200,1772155534776,3228,3228,3228,3228,3228,3228,3228,3228,65.28892517089844,64.71977233886719,68.99109649658203,69.50709533691406,65.3567123413086,64.00431060791016,68.07208251953125,67.85542297363281,64.7611083984375,65.0519790649414,100,100,95.23809814453125,100,100,100,100,100,20.165851593017578,17179869184,9663676416,13188513792,8093564928
199,1772155534977,3228,3228,3228,3228,3228,3228,3228,3228,65.28892517089844,64.71977233886719,68.99109649658203,69.50709533691406,65.3567123413086,64.00431060791016,68.07208251953125,67.85542297363281,64.7611083984375,65.0519790649414,100,100,89.47368621826172,80,76.19047546386719,73.68421173095703,66.66667175292969,65,20.165851593017578,17179869184,9663676416,13373243392,8093564928
11,1772155535177,3228,3228,3228,3228,3228,3228,3228,3228,66.25717163085938,66.60810852050781,68.66893768310547,70.62303924560547,67.1786117553711,65.41727447509766,70.80194091796875,71.08963012695313,67.6669921875,67.03985595703125,75,76.19047546386719,55,55,38.88888931274414,33.333335876464844,22.22222328186035,15.789472579956055,20.165851593017578,17179869184,9663676416,13303349248,8093564928
