Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772014285533,3228,3228,3228,3228,3228,3228,3228,3228,51.30058670043945,50.86869430541992,56.016090393066406,55.220455169677734,52.26282501220703,50.15401840209961,54.170204162597656,53.11307907104492,50.9201545715332,51.054359436035156,100,50,100,66.66667175292969,100,50,50,100,16.170969009399414,17179869184,23622320128,13420609536,23255908352
100003,1772014285533,3228,3228,3228,3228,3228,3228,3228,3228,51.30058670043945,50.86869430541992,56.016090393066406,55.220455169677734,52.26282501220703,50.15401840209961,54.170204162597656,53.11307907104492,50.9201545715332,51.054359436035156,0,0,100,100,100,100,100,50,18.896059036254883,17179869184,23622320128,13419790336,23255908352
12,1772014385539,3228,3228,3228,3228,3228,3228,3228,3228,46.656494140625,46.915061950683594,46.19963836669922,46.81626510620117,47.09221649169922,46.84523391723633,49.21967315673828,46.86456298828125,47.06460952758789,48.04059600830078,38.5567626953125,37.08736038208008,24.437976837158203,16.78034019470215,11.6055326461792,10.190381050109863,7.039150714874268,5.8258256912231445,11.075471878051758,17179869184,23622320128,13442383872,23255908352
