Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
4000,1772118486264,2592,2592,2592,2592,2592,2592,2592,2592,41.97154998779297,21.70362091064453,62.11695861816406,20.940773010253906,42.57110595703125,16.46739959716797,34.09693908691406,17.383140563964844,7980.025634765625,76690.34948730469,59067.23193359375,3746.6336669921875,17070227456,7516192768,9858252800,0
4000,1772118490265,2592,2592,2592,2592,2592,2592,2592,2592,43.64002990722656,24.02507781982422,59.58602523803711,23.71570587158203,40.60342788696289,19.860061645507813,34.70771026611328,25.14482879638672,7986.931884765625,76739.1064453125,59101.074768066406,3749.7302856445313,17070227456,7516192768,9861464064,0
4000,1772118494266,2592,2592,2592,2592,2592,2592,2592,2592,47.299686431884766,23.937286376953125,54.62665557861328,28.44770050048828,38.39229965209961,20.090255737304688,35.55894470214844,22.696090698242188,7993.631774902344,76785.4896850586,59132.999938964844,3752.6104125976563,17070227456,7516192768,9878183936,0
4000,1772118498267,2592,2592,2592,2592,2592,2592,2592,2592,49.96807861328125,38.376502990722656,64.6593017578125,41.194610595703125,51.2487678527832,40.572078704833984,49.73694610595703,43.30885696411133,8000.615966796875,76832.0625,59165.64270019531,3755.355224609375,17070227456,7516192768,9913270272,0
4000,1772118502268,2592,2592,2592,2592,2592,2592,2592,2592,58.39823532104492,49.32355499267578,66.88594055175781,48.34316635131836,57.49751281738281,52.37550354003906,59.87126159667969,51.5373420715332,8007.339599609375,76877.4194946289,59197.55505371094,3757.7727661132813,17070227456,7516192768,9931108352,0
4000,1772118506269,2592,2592,2592,2592,2592,2592,2592,2592,60.601810455322266,58.99225616455078,68.62548828125,60.0727653503418,62.08005142211914,62.26960372924805,66.81593322753906,67.07565307617188,8014.2239990234375,76923.82690429688,59230.6630859375,3759.9951171875,17070227456,7516192768,9933320192,0
4000,1772118510270,2592,2592,2592,2592,2592,2592,2592,2592,51.78233337402344,49.00346374511719,62.10010528564453,54.91923904418945,56.56782531738281,48.91695022583008,59.591697692871094,57.04668045043945,8020.90771484375,76970.72631835938,59263.92578125,3762.3551025390625,17070227456,7516192768,9937235968,0
4000,1772118514270,2592,2592,2592,2592,2592,2592,2592,2592,48.25102996826172,36.9547119140625,58.772499084472656,38.98564910888672,45.58634567260742,36.20745086669922,46.798789978027344,41.085777282714844,8027.952209472656,77017.7719116211,59296.80487060547,3765.1168212890625,17070227456,7516192768,9901436928,0
4000,1772118518271,2592,2592,2592,2592,2592,2592,2592,2592,74.0464096069336,70.7171630859375,81.89291381835938,72.92439270019531,74.5422134399414,74.31715393066406,76.65106964111328,77.37428283691406,8035.21923828125,77064.02136230469,59329.56170654297,3767.472900390625,17070227456,7516192768,9930240000,0
4000,1772118522272,2592,2592,2592,2592,2592,2592,2592,2592,67.22200012207031,65.29765319824219,72.34955596923828,68.1600112915039,68.89364624023438,69.40771484375,72.8523178100586,70.8685302734375,8042.4735107421875,77110.81994628906,59362.68688964844,3769.920654296875,17070227456,7516192768,9945817088,0
4000,1772118526273,2592,2592,2592,2592,2592,2592,2592,2592,72.9984130859375,68.67027282714844,79.51885986328125,70.82087707519531,77.64559173583984,73.8104248046875,77.63624572753906,73.10025024414063,8050.083801269531,77159.28546142578,59397.1064453125,3772.5308227539063,17070227456,7516192768,9956974592,0
4000,1772118530274,2592,2592,2592,2592,2592,2592,2592,2592,69.14380645751953,64.06282043457031,76.47286987304688,67.45449829101563,71.7285385131836,65.59169006347656,70.3001480102539,67.9896240234375,8057.415771484375,77206.8627319336,59430.93103027344,3775.0897216796875,17070227456,7516192768,9947201536,0
4000,1772118534274,2592,2592,2592,2592,2592,2592,2592,2592,80.75907135009766,75.44793701171875,83.23169708251953,78.64779663085938,80.36245727539063,78.04369354248047,79.53794860839844,80.5111312866211,8064.714111328125,77254.53869628906,59465.173828125,3777.3731079101563,17070227456,7516192768,9922260992,0
4000,1772118538275,2592,2592,2592,2592,2592,2592,2592,2592,76.84654235839844,74.11246490478516,82.59136962890625,77.56310272216797,78.89111328125,79.37997436523438,80.76602935791016,81.882568359375,8072.186096191406,77302.48541259766,59499.600158691406,3779.7094116210938,17070227456,7516192768,9929797632,0
4000,1772118542276,2592,2592,2592,2592,2592,2592,2592,2592,73.61534881591797,67.78257751464844,78.10173034667969,73.8186264038086,75.67070007324219,74.39859008789063,76.06806945800781,72.97547912597656,8079.791015625,77352.08349609375,59535.05303955078,3782.3040771484375,17070227456,7516192768,9939451904,0
4001,1772118546276,2592,2592,2592,2592,2592,2592,2592,2592,76.82085418701172,73.60018157958984,82.34952545166016,79.1940689086914,80.97370910644531,79.22067260742188,81.22762298583984,84.74413299560547,8086.921569824219,77399.24743652344,59569.08074951172,3784.6146240234375,17070227456,7516192768,9963085824,0
4000,1772118550278,2592,2592,2592,2592,2592,2592,2592,2592,66.5381851196289,65.03437805175781,71.59210205078125,65.76863861083984,69.9218521118164,66.98153686523438,66.27603912353516,69.57095336914063,8094.359619140625,77448.26989746094,59604.18914794922,3787.2188110351563,17070227456,7516192768,9964191744,0
4000,1772118554279,2592,2592,2592,2592,2592,2592,2592,2592,71.67510223388672,69.19322204589844,75.09432220458984,71.9439697265625,72.70588684082031,69.48307037353516,72.2550048828125,72.75631713867188,8101.678955078125,77496.68768310547,59638.971923828125,3789.7002563476563,17070227456,7516192768,9968164864,0
