Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772123003192,2592,2592,2592,2592,2592,2592,2592,2592,27.701446533203125,57.392120361328125,52.39631271362305,17.742507934570313,0.5214614868164063,100,0,100,12962.739440917969,130954.19702148438,102027.86737060547,5347.567687988281,17070227456,7516192768,10266746880,0
4000,1772123003193,2592,2592,2592,2592,2592,2592,2592,2592,90.16812896728516,12.674674987792969,87.05743408203125,6.129425048828125,13.694252014160156,98.91445922851563,2.3570098876953125,100,12962.748779296875,130954.31530761719,102027.98272705078,5347.567687988281,17070227456,7516192768,10266767360,0
4000,1772123007193,2592,2592,2592,2592,2592,2592,2592,2592,13.968025207519531,17.638877868652344,43.844642639160156,28.759735107421875,29.004196166992188,18.530136108398438,29.434532165527344,27.18920135498047,12966.172180175781,131020.3208618164,102086.27947998047,5347.810791015625,17070227456,7516192768,10296860672,0
4000,1772123011194,2592,2592,2592,2592,2592,2592,2592,2592,6.777702331542969,2.603485107421875,57.992530822753906,6.975822448730469,26.77582550048828,3.8054885864257813,4.979705810546875,3.1729202270507813,12969.204223632813,131079.8642578125,102138.46368408203,5347.810791015625,17070227456,7516192768,10344820736,0
4000,1772123015194,2592,2592,2592,2592,2592,2592,2592,2592,5.286811828613281,1.9343490600585938,53.92093276977539,1.3533172607421875,7.651512145996094,1.2138290405273438,12.011856079101563,14.383094787597656,12972.192138671875,131131.89239501953,102183.16870117188,5347.810791015625,17070227456,7516192768,10385260544,0
4000,1772123019195,2592,2592,2592,2592,2592,2592,2592,2592,12.530540466308594,4.490875244140625,47.414833068847656,11.156684875488281,19.337982177734375,6.918724060058594,3.5258255004882813,5.1907958984375,12975.166748046875,131187.61352539063,102231.61193847656,5347.810791015625,17070227456,7516192768,10436468736,0
4000,1772123023196,2592,2592,2592,2592,2592,2592,2592,2592,30.570945739746094,20.25379180908203,53.41490936279297,40.60467529296875,32.896827697753906,25.21746063232422,25.536956787109375,26.29864501953125,12979.383056640625,131263.40759277344,102299.5810546875,5347.827880859375,17070227456,7516192768,10492055552,0
4000,1772123027197,2592,2592,2592,2592,2592,2592,2592,2592,51.90026092529297,31.22026824951172,66.7486572265625,33.63618469238281,59.76819610595703,34.24779510498047,59.19930648803711,36.269569396972656,12985.006774902344,131356.11840820313,102383.82135009766,5347.863464355469,17070227456,7516192768,10499854336,0
4000,1772123031198,2592,2592,2592,2592,2592,2592,2592,2592,54.53007888793945,26.245140075683594,64.32462310791016,27.390281677246094,56.486385345458984,28.573455810546875,42.406105041503906,31.93431854248047,12990.281921386719,131442.98992919922,102462.37670898438,5347.9068603515625,17070227456,7516192768,10519298048,0
4000,1772123035199,2592,2592,2592,2592,2592,2592,2592,2592,61.39316177368164,46.12822723388672,75.23756408691406,42.31196212768555,66.75587463378906,48.47315216064453,65.92073059082031,42.197837829589844,12995.932739257813,131534.12438964844,102544.98602294922,5347.973937988281,17070227456,7516192768,10534924288,0
4000,1772123039200,2592,2592,2592,2592,2592,2592,2592,2592,53.617027282714844,33.36201477050781,66.42633056640625,34.77947235107422,57.00811767578125,38.430694580078125,53.80998992919922,38.38600540161133,13001.436157226563,131620.8148803711,102623.22436523438,5348.0302734375,17070227456,7516192768,10535145472,0
4000,1772123043201,2592,2592,2592,2592,2592,2592,2592,2592,55.309993743896484,44.54832077026367,65.80854797363281,40.62442398071289,62.67864990234375,43.72502517700195,54.59897232055664,51.29188919067383,13007.182434082031,131708.67541503906,102702.47198486328,5348.128967285156,17070227456,7516192768,10545864704,0
4000,1772123047202,2592,2592,2592,2592,2592,2592,2592,2592,57.466068267822266,36.12488555908203,60.65533447265625,32.750579833984375,58.330562591552734,32.51963806152344,50.227752685546875,27.492141723632813,13012.596252441406,131792.20068359375,102777.62530517578,5348.161071777344,17070227456,7516192768,10527113216,0
4000,1772123051203,2592,2592,2592,2592,2592,2592,2592,2592,57.826168060302734,31.772987365722656,63.13703918457031,32.417266845703125,59.48419952392578,27.672805786132813,46.89036178588867,32.184349060058594,13017.986694335938,131875.64910888672,102852.68481445313,5348.212463378906,17070227456,7516192768,10548039680,0
4000,1772123055204,2592,2592,2592,2592,2592,2592,2592,2592,57.833168029785156,27.994354248046875,64.013671875,29.405784606933594,57.111412048339844,31.228309631347656,46.882442474365234,34.60194396972656,13023.433288574219,131959.0469970703,102927.6714477539,5348.2454833984375,17070227456,7516192768,10563596288,0
4000,1772123059205,2592,2592,2592,2592,2592,2592,2592,2592,68.66975402832031,49.40972900390625,76.11215209960938,50.48440933227539,64.70787048339844,52.81178283691406,62.54952621459961,61.598045349121094,13029.508056640625,132043.22271728516,103003.10748291016,5348.33154296875,17070227456,7516192768,10604711936,0
2,1772123063206,2592,2592,2592,2592,2592,2592,2592,2592,41.02374267578125,15.805274963378906,55.98002624511719,18.607696533203125,49.404144287109375,22.142929077148438,29.478836059570313,35.505531311035156,13034.843566894531,132120.07989501953,103071.62719726563,5348.367004394531,17070227456,7516192768,10319532032,0
