Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
4001,1772117924854,2592,2592,2592,2592,2592,2592,2592,2592,70.87445831298828,71.46875762939453,74.24205017089844,77.84809875488281,74.20476531982422,77.21282958984375,78.15501403808594,84.27369689941406,6999.0775146484375,69822.03741455078,54184.95764160156,3334.3292236328125,17070227456,7516192768,9746063360,0
4000,1772117928855,2592,2592,2592,2592,2592,2592,2592,2592,67.88432312011719,64.4997329711914,68.46722412109375,70.0748291015625,68.193115234375,69.85221862792969,73.89453887939453,76.84699249267578,7006.2227783203125,69873.12811279297,54219.543212890625,3339.4987182617188,17070227456,7516192768,9760587776,0
4000,1772117932856,2592,2592,2592,2592,2592,2592,2592,2592,71.3025131225586,75.50303649902344,76.19436645507813,73.48674011230469,74.26962280273438,74.86689758300781,77.17240905761719,82.28106689453125,7013.206726074219,69923.98461914063,54254.45983886719,3344.205810546875,17070227456,7516192768,9769545728,0
4000,1772117936857,2592,2592,2592,2592,2592,2592,2592,2592,69.46277618408203,71.82630920410156,71.74757385253906,74.44123840332031,73.01885986328125,70.96759796142578,73.61390686035156,81.47921752929688,7020.239440917969,69974.99133300781,54289.43927001953,3348.99853515625,17070227456,7516192768,9781227520,0
4000,1772117940857,2592,2592,2592,2592,2592,2592,2592,2592,74.19637298583984,74.63291931152344,78.45579528808594,78.00888061523438,76.22859191894531,78.13397216796875,80.30609130859375,84.20311737060547,7027.350402832031,70024.95874023438,54323.84002685547,3353.4332885742188,17070227456,7516192768,9795596288,0
4000,1772117944858,2592,2592,2592,2592,2592,2592,2592,2592,79.00850677490234,78.80122375488281,83.29545593261719,84.86439514160156,81.49909210205078,84.16647338867188,84.99208068847656,91.5736312866211,7034.3216552734375,70074.50286865234,54358.0673828125,3357.7597045898438,17070227456,7516192768,9768849408,0
4000,1772117948859,2592,2592,2592,2592,2592,2592,2592,2592,79.3985366821289,78.80457305908203,82.40292358398438,82.3007583618164,78.30085754394531,82.54224395751953,83.29715728759766,90.7918930053711,7041.3575439453125,70125.0004272461,54393.14190673828,3362.1000366210938,17070227456,7516192768,9724231680,0
4000,1772117952859,2592,2592,2592,2592,2592,2592,2592,2592,78.01122283935547,78.58975219726563,79.99710845947266,80.33824920654297,78.63093566894531,79.97633361816406,80.5210189819336,84.2620849609375,7048.788146972656,70176.38385009766,54428.424743652344,3366.77001953125,17070227456,7516192768,9740120064,0
4000,1772117956860,2592,2592,2592,2592,2592,2592,2592,2592,84.31803131103516,80.04571533203125,84.5162582397461,82.23665618896484,83.44314575195313,79.66021728515625,80.76866149902344,83.06352996826172,7056.677001953125,70227.34167480469,54463.400939941406,3370.9473266601563,17070227456,7516192768,9635045376,0
4000,1772117960861,2592,2592,2592,2592,2592,2592,2592,2592,74.63382720947266,65.59514617919922,72.62869262695313,67.64408111572266,67.92119598388672,71.31809997558594,71.23161315917969,69.94439697265625,7064.727600097656,70278.45361328125,54498.09216308594,3375.3700561523438,17070227456,7516192768,9651757056,0
4000,1772117964862,2592,2592,2592,2592,2592,2592,2592,2592,78.25799560546875,69.00751495361328,73.88385009765625,73.3801498413086,72.81641387939453,70.15614318847656,74.37956237792969,73.04885864257813,7072.7711181640625,70329.57995605469,54532.962829589844,3379.7028198242188,17070227456,7516192768,9715355648,0
4000,1772117968863,2592,2592,2592,2592,2592,2592,2592,2592,55.20874786376953,44.60345458984375,66.19448852539063,53.519081115722656,52.9332160949707,49.668312072753906,63.050559997558594,55.62860107421875,7079.5794677734375,70380.17724609375,54568.90625,3383.1565551757813,17070227456,7516192768,9674575872,0
4001,1772117972864,2592,2592,2592,2592,2592,2592,2592,2592,64.24553680419922,62.743770599365234,73.0723648071289,65.21087646484375,65.34186553955078,62.656166076660156,66.24162292480469,70.15451049804688,7086.561462402344,70428.89624023438,54603.41680908203,3386.2655639648438,17070227456,7516192768,9681711104,0
4000,1772117976865,2592,2592,2592,2592,2592,2592,2592,2592,66.2330322265625,63.35023880004883,70.31320190429688,70.18685913085938,63.96089172363281,66.02587890625,67.3257827758789,76.1031494140625,7093.340026855469,70478.22381591797,54638.978088378906,3389.0040283203125,17070227456,7516192768,9686712320,0
4033,1772117980866,2592,2592,2592,2592,2592,2592,2592,2592,69.4759750366211,64.50698852539063,77.97467041015625,70.44293212890625,67.01498413085938,72.45342254638672,76.31986999511719,79.76338195800781,7100.004211425781,70526.5078125,54673.77868652344,3391.6434326171875,17070227456,7516192768,9690279936,0
4016,1772117984900,2592,2592,2592,2592,2592,2592,2592,2592,64.53666687011719,64.53771209716797,75.16943359375,70.63038635253906,66.23007202148438,60.86041259765625,70.90245056152344,76.79447937011719,7106.8653564453125,70577.2177734375,54710.362854003906,3394.5437622070313,17070227456,7516192768,9656537088,0
4002,1772117988917,2592,2592,2592,2592,2592,2592,2592,2592,99.92979431152344,99.76883697509766,99.90766143798828,99.91307830810547,99.60649108886719,99.53247833251953,99.7468490600586,99.93980407714844,7113.6492919921875,70626.76403808594,54746.92755126953,3396.6153564453125,17070227456,7516192768,9699307520,0
3996,1772117992922,2592,2592,2592,2592,2592,2592,2592,2592,94.66984558105469,94.62220764160156,96.00232696533203,97.02659606933594,94.29209899902344,95.74282836914063,96.7447738647461,97.8653335571289,7120.875244140625,70678.19464111328,54783.609375,3400.172119140625,17070227456,7516192768,9665413120,0
5,1772117996919,2592,2592,2592,2592,2592,2592,2592,2592,78.91691589355469,78.59056854248047,85.0098648071289,81.3221664428711,78.08952331542969,78.21696472167969,80.69857025146484,81.74273681640625,7127.514587402344,70726.3822631836,54818.53839111328,3402.7435913085938,17070227456,7516192768,9571405824,0
