Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772122586182,2592,2592,2592,2592,2592,2592,2592,2592,28.161972045898438,61.90134811401367,42.78953552246094,15.755706787109375,0,100,100,0,12425.654907226563,122930.37774658203,95011.4273071289,5207.769348144531,17070227456,7516192768,9284145152,0
4001,1772122586182,2592,2592,2592,2592,2592,2592,2592,2592,32.958702087402344,42.561744689941406,97.26627349853516,13.014701843261719,14.206581115722656,100,100,71.32486724853516,12425.664611816406,122930.50439453125,95011.53509521484,5207.769348144531,17070227456,7516192768,9284104192,0
3998,1772122590186,2592,2592,2592,2592,2592,2592,2592,2592,31.95623779296875,40.11079788208008,50.65234375,32.43128967285156,47.64082336425781,32.12831115722656,59.996742248535156,33.99066162109375,12429.932250976563,123009.39825439453,95082.4613647461,5207.9713134765625,17070227456,7516192768,9387745280,0
4000,1772122594185,2592,2592,2592,2592,2592,2592,2592,2592,99.81397247314453,99.81275939941406,99.56770324707031,99.68219757080078,99.25953674316406,99.32768249511719,99.54515838623047,99.6427001953125,12438.760864257813,123108.14660644531,95171.19537353516,5208.05029296875,17070227456,7516192768,9494597632,0
2,1772122598186,2592,2592,2592,2592,2592,2592,2592,2592,78.31587219238281,76.78341674804688,82.41468811035156,79.1126708984375,82.2796859741211,75.31108856201172,77.66197204589844,74.43270874023438,12445.909851074219,123198.34985351563,95252.12396240234,5208.156982421875,17070227456,7516192768,9479299072,0
