Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772003683019,3228,3228,3228,3228,3228,3228,3228,3228,43.03577423095703,44.006961822509766,44.021331787109375,44.36606216430664,43.985137939453125,43.1900749206543,45.43925857543945,44.526302337646484,43.655155181884766,44.940711975097656,100,100,100,50,0,0,0,0,4.995159149169922,17179869184,23622320128,13045858304,22173712384
100006,1772003683019,3228,3228,3228,3228,3228,3228,3228,3228,43.03577423095703,44.006961822509766,44.021331787109375,44.36606216430664,43.985137939453125,43.1900749206543,45.43925857543945,44.526302337646484,43.655155181884766,44.940711975097656,NaN,NaN,100,NaN,0,0,NaN,NaN,4.995159149169922,17179869184,23622320128,13045858304,22173712384
8,1772003783027,3228,3228,3228,3228,3228,3228,3228,3228,41.35145950317383,42.753604888916016,42.32813262939453,42.16564178466797,42.725181579589844,41.97325897216797,44.40614700317383,42.978641510009766,42.34828567504883,43.353248596191406,36.0080451965332,35.66616439819336,12.23713207244873,8.145702362060547,4.251700401306152,3.2613046169281006,2.6105220317840576,2.119999885559082,3.0852997303009033,17179869184,23622320128,12982829056,22173712384
