Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772007384269,3228,3228,3228,3228,3228,3228,3228,3228,49.54545593261719,49.23242950439453,53.90507507324219,53.146934509277344,50.85523223876953,48.229610443115234,52.383460998535156,52.10097885131836,48.85068893432617,49.250152587890625,100,100,100,0,0,0,0,0,21.21746253967285,17179869184,22548578304,13215596544,21719285760
100006,1772007384269,3228,3228,3228,3228,3228,3228,3228,3228,49.54545593261719,49.23242950439453,53.90507507324219,53.146934509277344,50.85523223876953,48.229610443115234,52.383460998535156,52.10097885131836,48.85068893432617,49.250152587890625,0,50,0,66.66667175292969,0,0,0,0,21.21746253967285,17179869184,22548578304,13215596544,21719285760
10,1772007484277,3228,3228,3228,3228,3228,3228,3228,3228,49.52320098876953,49.81946563720703,49.113121032714844,50.34307861328125,49.73833465576172,49.07633972167969,52.18681716918945,51.0563850402832,50.003082275390625,50.705467224121094,57.56598663330078,57.161563873291016,35.69773483276367,27.62986183166504,17.612838745117188,16.34596061706543,10.846269607543945,8.597738265991211,11.251241683959961,17179869184,22548578304,13452165120,21903048704
